Step,Res_BundleA,Res_BundleB,Res_BundleC,SME,PUE
791,0.01926356,0,0,0,0
792,0.020737788,0,0,0,0
793,0.000662132,0,0,0,0
794,0.001138815,0,0,0,0
795,0.008143088,0,0,0,0
796,0.008561171,0,0,0,0
797,0.016928848,0,0,0,0
798,0.004963168,0,0,0,0
799,0.061994595,0,0,0,0
800,0.00316871,0,0,0,0
801,0.006360684,0,0,0,0
802,0.000241781,0,0,0,0
803,0.000349398,0,0,0,0
804,0.008654707,0,0,0,0
805,0.001011913,0,0,0,0
806,0.010513131,0,0,0,0
807,0.00791425,0,0,0,0
808,0.00159388,0,0,0,0
809,0.004040853,0,0,0,0
810,0.00443461,0,0,0,0
811,0.001871197,0,0,0,0
812,0.000384061,0,0,0,0
813,0.021632865,0,0,0,0
814,0.074899937,0,0,0,0
815,0.021944415,0,0,0,0
816,0.004167966,0,0,0,0
817,0.004889592,0,0,0,0
818,0.004706254,0,0,0,0
819,0.024997388,0,0,0,0
820,0.025968936,0,0,0,0
821,0.025630573,0,0,0,0
822,0.01450672,0,0,0,0
823,0.003359834,0,0,0,0
824,0.050029616,0,0,0,0
825,0.005710874,0,0,0,0
826,0.000704439,0,0,0,0
827,0.000779762,0,0,0,0
828,0.024006988,0,0,0,0
829,0.000889752,0,0,0,0
830,0.019782636,0,0,0,0
831,0.022835716,0,0,0,0
832,0.043399771,0,0,0,0
833,0.068250721,0,0,0,0
834,0.015350942,0,0,0,0
835,0.021782927,0,0,0,0
836,0.02220825,0,0,0,0
837,0.001633824,0,0,0,0
838,0.004039389,0,0,0,0
839,0.001242117,0,0,0,0
840,0.018142273,0,0,0,0
841,0.002224514,0,0,0,0
842,0.014786967,0,0,0,0
843,0.002451624,0,0,0,0
844,0.010105047,0,0,0,0
845,0.000425004,0,0,0,0
846,0.000771922,0,0,0,0
847,0.002638749,0,0,0,0
848,0.000220164,0,0,0,0
849,0.020965281,0,0,0,0
850,0.005433988,0,0,0,0
851,0.009721473,0,0,0,0
852,0.000404115,0,0,0,0
853,0.000287302,0,0,0,0
854,0.040874864,0,0,0,0
855,0.000637714,0,0,0,0
856,0.016403383,0,0,0,0
857,0.015369436,0,0,0,0
858,0,0,0,0,0
859,0.004728685,0,0,0,0
860,0.019622467,0,0,0,0
861,0.019532903,0,0,0,0
862,0.048476442,0,0,0,0
863,0.012312993,0,0,0,0
864,0.005977025,0,0,0,0
865,0.004471582,0,0,0,0
866,0.027669396,0,0,0,0
